empleos	formales	informales	sector	region	scian
126459	41712	84747	agricultura	sinaloa	111
32820.5	8682.75	24137.75	explotacion_animal	sinaloa	112
6719	1045	5674	agropecuario_forestal	sinaloa	113,115
13128.75	2399.5	10729.25	pesca_caza	sinaloa	114
133.5	133.5	0	mineria_petrolera	sinaloa	211
6979	4955.25	2023.75	mineria_no_petrolera	sinaloa	212
10820.75	10620.25	200.5	energia_electrica_agua_gas	sinaloa	22
125795	40794.5	85000.5	construccion	sinaloa	23
71981.5	42150.75	29830.75	industria_alimentaria	sinaloa	311
10565	5472.25	5092.75	bebidas_tabaco	sinaloa	312
2823	331.25	2491.75	textiles_excepto_prendas	sinaloa	313-314
7478.5	1847	5631.5	prendas_cuero_piel	sinaloa	315-316
2429.75	1309.5	1120.25	madera	sinaloa	321
4985.5	3061.25	1924.25	papel	sinaloa	322-323
4921.25	4556	365.25	industria_quimica_plasticos	sinaloa	324-326
4870	3473	1397	industria_minerales_no_metalicos	sinaloa	327
17290.75	8075.25	9215.5	industrias_metalicas	sinaloa	331-332
17674	17358.5	315.5	maquinaria_equipo_electronicos	sinaloa	333-336
9886.5	4041.75	5844.75	muebles_colchones_persianas	sinaloa	337
2548	1209.5	1338.5	otras_industrias	sinaloa	339
52666.75	43248.25	9418.5	comercio_al_por_mayor	sinaloa	43
250492.75	129753	120739.75	comercio_al_por_menor	sinaloa	46
47917.75	27007	20910.75	logistica	sinaloa	48-49
7972.25	6905.25	1067	medios_masivos	sinaloa	51
15471.5	12705.75	2765.75	servicios_financieros	sinaloa	52
12446.25	5250	7196.25	servicios_inmobiliarios	sinaloa	53
29094.25	21542.5	7551.75	servicios_profesionales	sinaloa	54
8752.25	8483.5	268.75	corporativos	sinaloa	55
38183.5	28512.25	9671.25	serivicios_manejo_de_residuos	sinaloa	56
76298	67841	8457	servicios_educativos	sinaloa	61
58362.25	46298	12064.25	servicios_salud	sinaloa	62
18019.25	7836	10183.25	servicios_recreativos	sinaloa	71
139355.5	61570.5	77785	hoteleria_restaurants	sinaloa	72
145720	35827.5	109892.5	otros_servicios_excepto_gubernamentales	sinaloa	81
54962.25	48023.5	6938.75	servicios_gubernamentales	sinaloa	93
10177.25	555.75	9621.5	NA	sinaloa	NA
5257087	694651	4562436	agricultura	fuera_sinaloa	111
783674.5	193496.75	590177.75	explotacion_animal	fuera_sinaloa	112
108579.25	20815.25	87764	agropecuario_forestal	fuera_sinaloa	113,115
93583.75	15675.5	77908.25	pesca_caza	fuera_sinaloa	114
35957.25	35234	723.25	mineria_petrolera	fuera_sinaloa	211
169702.5	134041.25	35661.25	mineria_no_petrolera	fuera_sinaloa	212
201752	183218.5	18533.5	energia_electrica_agua_gas	fuera_sinaloa	22
4578865.5	977508	3601357.5	construccion	fuera_sinaloa	23
1981103.25	834387.75	1146715.5	industria_alimentaria	fuera_sinaloa	311
284167	191599.5	92567.5	bebidas_tabaco	fuera_sinaloa	312
365641.25	123462.75	242178.5	textiles_excepto_prendas	fuera_sinaloa	313-314
1017085	386174	630911	prendas_cuero_piel	fuera_sinaloa	315-316
164648.5	62194	102454.5	madera	fuera_sinaloa	321
357757	257173.75	100583.25	papel	fuera_sinaloa	322-323
856022.5	778754.75	77267.75	industria_quimica_plasticos	fuera_sinaloa	324-326
390090	191891.25	198198.75	industria_minerales_no_metalicos	fuera_sinaloa	327
935136	553528.5	381607.5	industrias_metalicas	fuera_sinaloa	331-332
2251803.5	2216710.75	35092.75	maquinaria_equipo_electronicos	fuera_sinaloa	333-336
509123.5	180511.25	328612.25	muebles_colchones_persianas	fuera_sinaloa	337
358115.75	243884.5	114231.25	otras_industrias	fuera_sinaloa	339
1621453.75	1156178	465275.75	comercio_al_por_mayor	fuera_sinaloa	43
9652054.75	3487895.5	6164159.25	comercio_al_por_menor	fuera_sinaloa	46
2795039	1372809	1422230	logistica	fuera_sinaloa	48-49
445623	379613.5	66009.5	medios_masivos	fuera_sinaloa	51
639180.25	562504.5	76675.75	servicios_financieros	fuera_sinaloa	52
393342.25	196360	196982.25	servicios_inmobiliarios	fuera_sinaloa	53
1751467.25	1218946	532521.25	servicios_profesionales	fuera_sinaloa	54
78594	75195.5	3398.5	corporativos	fuera_sinaloa	55
1795882.25	1231401	564481.25	serivicios_manejo_de_residuos	fuera_sinaloa	56
2834450.25	2372998	461452.25	servicios_educativos	fuera_sinaloa	61
1967416.25	1531347.25	436069	servicios_salud	fuera_sinaloa	62
517083.25	193670.75	323412.5	servicios_recreativos	fuera_sinaloa	71
4662010.25	1374110	3287900.25	hoteleria_restaurants	fuera_sinaloa	72
5436271.75	952771.75	4483500	otros_servicios_excepto_gubernamentales	fuera_sinaloa	81
2232229	1831984	400245	servicios_gubernamentales	fuera_sinaloa	93
397772	89604.5	308167.5	NA	fuera_sinaloa	NA
