sector	region	scian	empleos	formales	informales	valor_agregado_bruto	impuestos_netos_subsidios_productos	remuneracion_asalariados
agricultura	sinaloa	111	126459	41712	84747	44867.827	113.560871697223	7121.17707281601
explotacion_animal	sinaloa	112	32820.5	8682.75	24137.75	8467.976	26.4099052377888	1502.42388997764
agropecuario_forestal	sinaloa	113.115	6719	1045	5674	1934.187	38.373549732841	664.362267790403
pesca_caza	sinaloa	114	13128.75	2399.5	10729.25	725.991	3.44860169313725	56.6337935860274
mineria_petrolera	sinaloa	211	133.5	133.5	0	0	0	0
mineria_no_petrolera	sinaloa	212	6979	4955.25	2023.75	4243.07	72.3493981573481	517.709930175341
energia_electrica_agua_gas	sinaloa	22	10820.75	10620.25	200.5	13274.066	240.732743862372	2341.93524263568
construccion	sinaloa	23	125795	40794.5	85000.5	49538.149	197.710857063627	13374.5315913416
industria_alimentaria	sinaloa	311	71981.5	42150.75	29830.75	23190.495	102.71489317351	2593.62102294909
bebidas_tabaco	sinaloa	312	10565	5472.25	5092.75	4254.391	25.0630059154968	398.979328023957
textiles_excepto_prendas	sinaloa	313-314	2823	331.25	2491.75	165.366	1.3263570384627	56.6302332391454
prendas_cuero_piel	sinaloa	315-316	7478.5	1847	5631.5	274.041	1.38567469250592	116.773102377195
madera	sinaloa	321	2429.75	1309.5	1120.25	276.366	1.05895987289611	74.3057613721906
papel	sinaloa	322-323	4985.5	3061.25	1924.25	1339.156	13.7594207179069	330.625680384584
industria_quimica_plasticos	sinaloa	324-326	4921.25	4556	365.25	1140.378	27.1767142059995	208.993650206077
industria_minerales_no_metalicos	sinaloa	327	4870	3473	1397	1067.029	11.0803144701037	170.084228561123
industrias_metalicas	sinaloa	331-332	17290.75	8075.25	9215.5	1769.582	9.98761878666079	322.795805565428
maquinaria_equipo_electronicos	sinaloa	333-336	17674	17358.5	315.5	2672.102	9.46173752563005	652.353281460286
muebles_colchones_persianas	sinaloa	337	9886.5	4041.75	5844.75	462.643	1.87362745104575	183.614390706867
otras_industrias	sinaloa	339	2548	1209.5	1338.5	844.823	3.21294807106404	327.911336606284
comercio_al_por_mayor	sinaloa	43	52666.75	43248.25	9418.5	71867.685	469.259443259246	2935.07972365155
comercio_al_por_menor	sinaloa	46	250492.75	129753	120739.75	58444.71	228.958957487413	12553.349847176
logistica	sinaloa	48-49	47917.75	27007	20910.75	36387.815	640.587324735974	8709.7161749795
medios_masivos	sinaloa	51	7972.25	6905.25	1067	3502.716	13.2874388807897	631.284103396203
servicios_financieros	sinaloa	52	15471.5	12705.75	2765.75	17947.046	-11.5521811555994	4161.44525859859
servicios_inmobiliarios	sinaloa	53	12446.25	5250	7196.25	47513.937	43.4410124254029	1203.30730595549
servicios_profesionales	sinaloa	54	29094.25	21542.5	7551.75	8936.541	27.6341601026588	2910.06474532112
corporativos	sinaloa	55	8752.25	8483.5	268.75	699.778	6.37132742548849	106.542694846655
serivicios_manejo_de_residuos	sinaloa	56	38183.5	28512.25	9671.25	15831.67	22.0906902364825	9838.68226736954
servicios_educativos	sinaloa	61	76298	67841	8457	23998.807	207.811771297148	20684.0040700318
servicios_salud	sinaloa	62	58362.25	46298	12064.25	11479.342	395.164730441621	9005.449497826
servicios_recreativos	sinaloa	71	18019.25	7836	10183.25	2150.996	15.0456051575481	616.030290368512
hoteleria_restaurants	sinaloa	72	139355.5	61570.5	77785	15728.785	374.511369162034	3237.44633862224
otros_servicios_excepto_gubernamentales	sinaloa	81	145720	35827.5	109892.5	13736.811	13.7721742079167	5089.71429160618
servicios_gubernamentales	sinaloa	93	54962.25	48023.5	6938.75	16972.011	1074.63587599308	16541.1160430401
agricultura	fuera_sinaloa	111	5257087	694651	4562436	471486.728	1193.33712830278	74831.804927184
explotacion_animal	fuera_sinaloa	112	783674.5	193496.75	590177.75	234065.119	281.051094762211	41528.8171100224
agropecuario_forestal	fuera_sinaloa	113.115	108579.25	20815.25	87764	7668.476	172.236450267159	2633.9987322096
pesca_caza	fuera_sinaloa	114	93583.75	15675.5	77908.25	27878.715	83.9803983068628	2174.78920641397
mineria_petrolera	fuera_sinaloa	211	35957.25	35234	723.25	674626.073	4523.86363595351	34415.4654796372
mineria_no_petrolera	fuera_sinaloa	212	169702.5	134041.25	35661.25	269457.441	4500.20096588914	32877.325371803
energia_electrica_agua_gas	fuera_sinaloa	22	201752	183218.5	18533.5	443633.155	22318.0262561376	78269.9227573643
construccion	fuera_sinaloa	23	4578865.5	977508	3601357.5	1411251.376	6677.23114293637	381015.974408658
industria_alimentaria	fuera_sinaloa	311	1981103.25	834387.75	1146715.5	888523.273	6369.48910682649	99372.2919770508
bebidas_tabaco	fuera_sinaloa	312	284167	191599.5	92567.5	235919.981	1455.1529940845	22124.716671976
textiles_excepto_prendas	fuera_sinaloa	313-314	365641.25	123462.75	242178.5	49676.842	278.910642961537	17012.0287667609
prendas_cuero_piel	fuera_sinaloa	315-316	1017085	386174	630911	102345.726	541.531325307494	43611.0944715074
madera	fuera_sinaloa	321	164648.5	62194	102454.5	38561.446	142.634040127104	10367.9092386278
papel	fuera_sinaloa	322-323	357757	257173.75	100583.25	124916.625	1476.04357928209	30840.8013196154
industria_quimica_plasticos	fuera_sinaloa	324-326	856022.5	778754.75	77267.75	671305.604	86187.117285794	123028.161349794
industria_minerales_no_metalicos	fuera_sinaloa	327	390090	191891.25	198198.75	156529.073	1701.7986855299	24950.7057714389
industrias_metalicas	fuera_sinaloa	331-332	935136	553528.5	381607.5	426217.576	3591.43038121335	77747.8781944346
maquinaria_equipo_electronicos	fuera_sinaloa	333-336	2251803.5	2216710.75	35092.75	1962574.439	7335.67826247438	479132.86071854
muebles_colchones_persianas	fuera_sinaloa	337	509123.5	180511.25	328612.25	55076.99	232.838372548954	21859.0316092931
otras_industrias	fuera_sinaloa	339	358115.75	243884.5	114231.25	132012.447	307.406051928936	51239.5826633937
comercio_al_por_mayor	fuera_sinaloa	43	1621453.75	1156178	465275.75	2196393.763	14341.3345567408	89700.8272763485
comercio_al_por_menor	fuera_sinaloa	46	9652054.75	3487895.5	6164159.25	2182999.766	8551.96904251259	468886.915152824
logistica	fuera_sinaloa	48-49	2795039	1372809	1422230	1617322.066	34617.330675264	387119.044064379
medios_masivos	fuera_sinaloa	51	445623	379613.5	66009.5	367757.959	1162.90556111921	66279.9248966038
servicios_financieros	fuera_sinaloa	52	639180.25	562504.5	76675.75	868712.961	-770.995818844401	201431.557741401
