experiment_name	date	use_origen_destino	origen_destino_sector	origen_destino_structure	split	investment_usd	exrate	shocks_millones_mxn	sector	region	scian
NA	NA	NA	NA	NA	NA	NA	NA	NA	agricultura	sinaloa	111
NA	NA	NA	NA	NA	NA	NA	NA	NA	explotacion_animal	sinaloa	112
NA	NA	NA	NA	NA	NA	NA	NA	NA	agropecuario_forestal	sinaloa	113,115
NA	NA	NA	NA	NA	NA	NA	NA	NA	pesca_caza	sinaloa	114
NA	NA	NA	NA	NA	NA	NA	NA	NA	mineria_petrolera	sinaloa	211
NA	NA	NA	NA	NA	NA	NA	NA	NA	mineria_no_petrolera	sinaloa	212
NA	NA	NA	NA	NA	NA	NA	NA	NA	energia_electrica_agua_gas	sinaloa	22
NA	NA	NA	NA	NA	NA	NA	NA	NA	construccion	sinaloa	23
NA	NA	NA	NA	NA	NA	NA	NA	NA	industria_alimentaria	sinaloa	311
NA	NA	NA	NA	NA	NA	NA	NA	NA	bebidas_tabaco	sinaloa	312
NA	NA	NA	NA	NA	NA	NA	NA	NA	textiles_excepto_prendas	sinaloa	313-314
NA	NA	NA	NA	NA	NA	NA	NA	NA	prendas_cuero_piel	sinaloa	315-316
NA	NA	NA	NA	NA	NA	NA	NA	NA	madera	sinaloa	321
NA	NA	NA	NA	NA	NA	NA	NA	NA	papel	sinaloa	322-323
NA	NA	NA	NA	NA	NA	NA	NA	NA	industria_quimica_plasticos	sinaloa	324-326
NA	NA	NA	NA	NA	NA	NA	NA	NA	industria_minerales_no_metalicos	sinaloa	327
NA	NA	NA	NA	NA	NA	NA	NA	NA	industrias_metalicas	sinaloa	331-332
NA	NA	NA	NA	NA	NA	NA	NA	NA	maquinaria_equipo_electronicos	sinaloa	333-336
NA	NA	NA	NA	NA	NA	NA	NA	NA	muebles_colchones_persianas	sinaloa	337
NA	NA	NA	NA	NA	NA	NA	NA	NA	otras_industrias	sinaloa	339
NA	NA	NA	NA	NA	NA	NA	NA	NA	comercio_al_por_mayor	sinaloa	43
NA	NA	NA	NA	NA	NA	NA	NA	NA	comercio_al_por_menor	sinaloa	46
NA	NA	NA	NA	NA	NA	NA	NA	NA	logistica	sinaloa	48-49
NA	NA	NA	NA	NA	NA	NA	NA	NA	medios_masivos	sinaloa	51
NA	NA	NA	NA	NA	NA	NA	NA	NA	servicios_financieros	sinaloa	52
NA	NA	NA	NA	NA	NA	NA	NA	NA	servicios_inmobiliarios	sinaloa	53
NA	NA	NA	NA	NA	NA	NA	NA	NA	servicios_profesionales	sinaloa	54
NA	NA	NA	NA	NA	NA	NA	NA	NA	corporativos	sinaloa	55
NA	NA	NA	NA	NA	NA	NA	NA	NA	serivicios_manejo_de_residuos	sinaloa	56
NA	NA	NA	NA	NA	NA	NA	NA	NA	servicios_educativos	sinaloa	61
NA	NA	NA	NA	NA	NA	NA	NA	NA	servicios_salud	sinaloa	62
NA	NA	NA	NA	NA	NA	NA	NA	NA	servicios_recreativos	sinaloa	71
NA	NA	NA	NA	NA	NA	NA	NA	NA	hoteleria_restaurants	sinaloa	72
NA	NA	NA	NA	NA	NA	NA	NA	NA	otros_servicios_excepto_gubernamentales	sinaloa	81
NA	NA	NA	NA	NA	NA	NA	NA	NA	servicios_gubernamentales	sinaloa	93
NA	NA	NA	NA	NA	NA	NA	NA	NA	agricultura	fuera_sinaloa	111
NA	NA	NA	NA	NA	NA	NA	NA	NA	explotacion_animal	fuera_sinaloa	112
NA	NA	NA	NA	NA	NA	NA	NA	NA	agropecuario_forestal	fuera_sinaloa	113,115
NA	NA	NA	NA	NA	NA	NA	NA	NA	pesca_caza	fuera_sinaloa	114
NA	NA	NA	NA	NA	NA	NA	NA	NA	mineria_petrolera	fuera_sinaloa	211
NA	NA	NA	NA	NA	NA	NA	NA	NA	mineria_no_petrolera	fuera_sinaloa	212
NA	NA	NA	NA	NA	NA	NA	NA	NA	energia_electrica_agua_gas	fuera_sinaloa	22
NA	NA	NA	NA	NA	NA	NA	NA	NA	construccion	fuera_sinaloa	23
NA	NA	NA	NA	NA	NA	NA	NA	NA	industria_alimentaria	fuera_sinaloa	311
NA	NA	NA	NA	NA	NA	NA	NA	NA	bebidas_tabaco	fuera_sinaloa	312
NA	NA	NA	NA	NA	NA	NA	NA	NA	textiles_excepto_prendas	fuera_sinaloa	313-314
NA	NA	NA	NA	NA	NA	NA	NA	NA	prendas_cuero_piel	fuera_sinaloa	315-316
NA	NA	NA	NA	NA	NA	NA	NA	NA	madera	fuera_sinaloa	321
NA	NA	NA	NA	NA	NA	NA	NA	NA	papel	fuera_sinaloa	322-323
NA	NA	NA	NA	NA	NA	NA	NA	NA	industria_quimica_plasticos	fuera_sinaloa	324-326
NA	NA	NA	NA	NA	NA	NA	NA	NA	industria_minerales_no_metalicos	fuera_sinaloa	327
NA	NA	NA	NA	NA	NA	NA	NA	NA	industrias_metalicas	fuera_sinaloa	331-332
NA	NA	NA	NA	NA	NA	NA	NA	NA	maquinaria_equipo_electronicos	fuera_sinaloa	333-336
NA	NA	NA	NA	NA	NA	NA	NA	NA	muebles_colchones_persianas	fuera_sinaloa	337
NA	NA	NA	NA	NA	NA	NA	NA	NA	otras_industrias	fuera_sinaloa	339
NA	NA	NA	NA	NA	NA	NA	NA	NA	comercio_al_por_mayor	fuera_sinaloa	43
NA	NA	NA	NA	NA	NA	NA	NA	NA	comercio_al_por_menor	fuera_sinaloa	46
NA	NA	NA	NA	NA	NA	NA	NA	NA	logistica	fuera_sinaloa	48-49
NA	NA	NA	NA	NA	NA	NA	NA	NA	medios_masivos	fuera_sinaloa	51
NA	NA	NA	NA	NA	NA	NA	NA	NA	servicios_financieros	fuera_sinaloa	52
NA	NA	NA	NA	NA	NA	NA	NA	NA	servicios_inmobiliarios	fuera_sinaloa	53
NA	NA	NA	NA	NA	NA	NA	NA	NA	servicios_profesionales	fuera_sinaloa	54
NA	NA	NA	NA	NA	NA	NA	NA	NA	corporativos	fuera_sinaloa	55
NA	NA	NA	NA	NA	NA	NA	NA	NA	serivicios_manejo_de_residuos	fuera_sinaloa	56
NA	NA	NA	NA	NA	NA	NA	NA	NA	servicios_educativos	fuera_sinaloa	61
NA	NA	NA	NA	NA	NA	NA	NA	NA	servicios_salud	fuera_sinaloa	62
NA	NA	NA	NA	NA	NA	NA	NA	NA	servicios_recreativos	fuera_sinaloa	71
NA	NA	NA	NA	NA	NA	NA	NA	NA	hoteleria_restaurants	fuera_sinaloa	72
NA	NA	NA	NA	NA	NA	NA	NA	NA	otros_servicios_excepto_gubernamentales	fuera_sinaloa	81
NA	NA	NA	NA	NA	NA	NA	NA	NA	servicios_gubernamentales	fuera_sinaloa	93
